person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,LTI,credit_score
21,11520,OWN,5.0,MEDICAL,B,2000,11.12,1,0.17,N,3,0.17,637.2072108992843
25,120000,RENT,2.0,VENTURE,A,32000,6.62,0,0.27,N,2,0.27,691.670088750408
26,95000,RENT,7.0,HOMEIMPROVEMENT,C,31050,14.17,1,0.33,Y,3,0.33,577.0408236621472
25,306000,RENT,2.0,DEBTCONSOLIDATION,C,24250,13.85,0,0.08,N,3,0.08,649.2476479834061
26,300000,MORTGAGE,10.0,MEDICAL,C,7800,13.49,0,0.03,N,4,0.03,710.4187971125963
21,12000,OWN,5.0,EDUCATION,A,2500,7.51,1,0.21,N,4,0.21,672.9213375504459
22,48000,RENT,1.0,EDUCATION,E,30000,18.39,1,0.63,N,2,0.62,499.8093101221444
24,64000,RENT,8.0,DEBTCONSOLIDATION,D,30000,14.54,1,0.47,Y,3,0.47,491.82460711750946
25,75000,RENT,4.0,HOMEIMPROVEMENT,D,30000,16.89,1,0.4,Y,4,0.4,492.5438683909367
23,71500,RENT,3.0,DEBTCONSOLIDATION,D,30000,0.0,1,0.42,N,4,0.42,498.11304021287316
26,62050,RENT,6.0,MEDICAL,E,30000,17.99,1,0.41,N,2,0.48,493.0723330930962
24,12000,OWN,4.0,VENTURE,B,2500,12.69,1,0.21,N,3,0.21,659.441743715445
26,300000,MORTGAGE,10.0,VENTURE,A,20000,7.88,0,0.07,N,4,0.07,760.2966426899685
23,300000,OWN,1.0,EDUCATION,F,24250,19.41,0,0.08,Y,2,0.08,656.8485418677828
26,300000,OWN,9.0,HOMEIMPROVEMENT,B,10000,10.38,0,0.03,N,4,0.03,736.7694630242605
26,300000,MORTGAGE,0.0,EDUCATION,D,25000,15.33,0,0.08,N,3,0.08,641.9903631235363
25,300000,MORTGAGE,9.0,HOMEIMPROVEMENT,E,18000,16.45,0,0.06,N,3,0.06,637.8395543374053
26,80690,RENT,8.0,PERSONAL,A,30000,7.49,1,0.37,N,3,0.37,624.7416271953755
22,66300,RENT,4.0,MEDICAL,B,30000,12.69,1,0.38,N,3,0.45,567.5559491293859
26,89028,RENT,0.0,DEBTCONSOLIDATION,A,30000,6.62,1,0.34,N,3,0.34,597.6088543546437
24,78000,RENT,4.0,DEBTCONSOLIDATION,D,30000,0.0,1,0.38,Y,4,0.38,498.11304021287316
23,78000,RENT,7.0,DEBTCONSOLIDATION,F,30000,18.62,1,0.38,Y,3,0.38,487.927988384352
23,92004,RENT,6.0,PERSONAL,C,30000,15.23,1,0.33,Y,3,0.33,587.436805381381
23,97000,RENT,7.0,VENTURE,B,30000,10.65,1,0.31,N,2,0.31,619.3634056514281
25,120000,RENT,9.0,EDUCATION,A,30000,7.9,0,0.25,N,4,0.25,695.4821784486
26,280000,RENT,4.0,PERSONAL,C,10000,15.96,0,0.04,Y,3,0.04,683.1747817161194
26,277104,RENT,0.0,VENTURE,B,20000,11.48,0,0.07,N,3,0.07,703.1917282092293
23,277000,OWN,3.0,PERSONAL,A,35000,0.0,0,0.13,N,4,0.13,749.7163103175108
25,128000,RENT,9.0,PERSONAL,A,30000,7.29,0,0.23,N,4,0.23,687.8835123657302
24,12000,OWN,2.0,VENTURE,E,1750,0.0,0,0.15,Y,3,0.15,604.7375781110003
21,131000,RENT,0.0,VENTURE,A,30000,5.99,0,0.23,N,4,0.23,694.7854173429075
22,275000,OWN,6.0,VENTURE,B,12000,11.58,0,0.04,N,2,0.04,762.6305909652541
26,263000,MORTGAGE,0.0,EDUCATION,B,10000,0.0,1,0.04,N,4,0.04,738.5782045568108
25,221850,MORTGAGE,9.0,MEDICAL,D,25000,15.7,1,0.1,N,2,0.11,626.1937102647548
22,70000,RENT,6.0,EDUCATION,D,29100,15.99,1,0.42,N,3,0.42,515.1532603652637
22,12000,MORTGAGE,7.0,EDUCATION,D,1500,14.84,0,0.13,Y,3,0.12,583.3219288294949
26,260000,OWN,10.0,HOMEIMPROVEMENT,B,28000,10.99,0,0.11,N,3,0.11,719.0740305577251
25,259000,MORTGAGE,9.0,HOMEIMPROVEMENT,D,20000,14.42,0,0.08,Y,2,0.08,631.2319539136619
24,255000,MORTGAGE,9.0,EDUCATION,A,9600,6.99,0,0.04,N,2,0.04,763.0553557613421
25,250000,RENT,2.0,MEDICAL,C,25000,13.49,0,0.1,N,4,0.1,656.1157705992214
25,12000,OWN,0.0,MEDICAL,C,3000,0.0,1,0.25,N,3,0.25,617.480231552534
22,56950,RENT,6.0,MEDICAL,A,28000,0.0,1,0.49,N,2,0.49,579.9831602130441
21,12000,OWN,6.0,EDUCATION,C,3000,13.61,1,0.25,Y,3,0.25,642.3834914657033
23,65000,RENT,2.0,EDUCATION,A,28000,7.9,1,0.43,N,2,0.43,608.0136193935411
26,85000,RENT,2.0,VENTURE,A,28000,7.49,1,0.33,N,3,0.33,634.4925511283218
26,12000,OWN,2.0,EDUCATION,A,6100,7.51,1,0.51,N,3,0.51,609.4070365575891
22,88000,RENT,6.0,VENTURE,B,28000,9.91,1,0.32,N,3,0.32,618.627371330605
21,12000,OWN,0.0,PERSONAL,C,4200,13.48,1,0.35,Y,4,0.35,570.5926725558016
22,12000,OWN,6.0,DEBTCONSOLIDATION,A,4750,7.14,1,0.4,N,2,0.4,580.9950508939858
24,83004,RENT,0.0,VENTURE,D,28000,15.99,1,0.34,Y,4,0.34,536.030315056315
24,250000,RENT,2.0,EDUCATION,C,18000,12.98,0,0.07,Y,3,0.07,689.9079287522464
144,250000,RENT,4.0,VENTURE,C,4800,13.57,0,0.02,N,3,0.02,707.0404613792019
25,100000,RENT,5.0,DEBTCONSOLIDATION,B,28000,12.69,0,0.28,N,3,0.28,636.375896749804
26,110000,RENT,10.0,EDUCATION,A,28000,8.9,0,0.25,N,2,0.25,695.5344619921634
26,12000,OWN,0.0,DEBTCONSOLIDATION,A,2700,0.0,1,0.23,N,4,0.22,639.8174644915772
22,108000,RENT,6.0,EDUCATION,B,28000,0.0,1,0.26,N,4,0.26,666.0225315820028
23,151200,RENT,7.0,DEBTCONSOLIDATION,B,28000,11.11,0,0.19,N,2,0.19,656.3228565133852
24,69000,RENT,2.0,HOMEIMPROVEMENT,A,27600,0.0,1,0.4,N,2,0.4,586.2220485126356
21,12000,MORTGAGE,5.0,DEBTCONSOLIDATION,E,3250,15.68,1,0.27,Y,3,0.27,527.9958160873103
22,70000,RENT,4.0,EDUCATION,C,27500,13.06,1,0.39,Y,3,0.39,579.7132699592432
22,240000,OWN,6.0,PERSONAL,B,25000,0.0,0,0.1,N,2,0.1,732.7748292847045
26,73200,RENT,5.0,VENTURE,D,27050,15.62,1,0.37,Y,2,0.37,528.8094394153306
24,83000,RENT,5.0,PERSONAL,C,27000,13.49,1,0.33,Y,2,0.33,592.9575063672539
24,73399,RENT,0.0,VENTURE,D,27000,0.0,1,0.37,N,3,0.37,534.2104352935439
23,62500,RENT,7.0,MEDICAL,B,26000,11.71,1,0.42,N,2,0.42,570.1621490715254
23,120000,RENT,1.0,EDUCATION,B,25600,12.69,0,0.21,N,3,0.21,669.0936866168629
24,12360,OWN,2.0,MEDICAL,C,1600,13.57,0,0.13,N,3,0.13,635.1302120222371
22,60000,RENT,0.0,VENTURE,B,25475,10.99,1,0.42,N,3,0.42,593.433987554334
25,234000,MORTGAGE,3.0,MEDICAL,C,20000,14.27,0,0.09,Y,4,0.09,689.3963522676696
24,234000,OWN,8.0,HOMEIMPROVEMENT,B,20000,8.88,0,0.09,N,4,0.09,721.7698918672241
26,234000,MORTGAGE,10.0,HOMEIMPROVEMENT,B,21600,12.18,0,0.09,N,3,0.09,705.0526560393351
25,221004,MORTGAGE,6.0,DEBTCONSOLIDATION,D,11900,14.42,1,0.05,Y,3,0.05,639.4535414390599
26,232500,MORTGAGE,0.0,MEDICAL,C,25000,14.17,0,0.11,Y,2,0.11,683.1041783451028
25,230000,MORTGAGE,5.0,MEDICAL,C,35000,13.99,0,0.15,N,4,0.15,683.2864523037297
23,83000,RENT,7.0,EDUCATION,B,25300,10.99,1,0.3,N,3,0.3,665.26836290968
22,12600,MORTGAGE,0.0,PERSONAL,A,2000,5.42,1,0.16,N,4,0.16,657.3356481664615
25,12600,OWN,3.0,PERSONAL,C,1750,13.61,0,0.14,N,3,0.14,646.968508528921
21,42500,RENT,3.0,EDUCATION,C,25000,12.73,1,0.59,Y,3,0.59,570.0926417694686
24,41000,RENT,2.0,HOMEIMPROVEMENT,D,25000,0.0,1,0.61,N,3,0.61,491.6886164726603
25,12816,OWN,0.0,DEBTCONSOLIDATION,C,3000,12.87,1,0.23,Y,4,0.23,609.2273348632713
24,12960,MORTGAGE,1.0,HOMEIMPROVEMENT,B,3650,9.91,1,0.28,N,3,0.28,606.9979121872177
26,226000,MORTGAGE,4.0,HOMEIMPROVEMENT,B,20000,11.49,0,0.09,N,4,0.09,703.3306060312846
25,225000,MORTGAGE,0.0,HOMEIMPROVEMENT,E,30000,19.91,0,0.13,Y,2,0.13,619.7917654995986
26,213000,MORTGAGE,6.0,EDUCATION,B,35000,10.65,1,0.16,N,2,0.16,719.6271265993196
24,225000,RENT,0.0,MEDICAL,B,6000,0.0,0,0.03,N,4,0.03,689.0678466504867
24,12960,MORTGAGE,0.0,DEBTCONSOLIDATION,B,4500,11.83,1,0.35,N,4,0.35,548.0008878508319
23,12996,OWN,0.0,DEBTCONSOLIDATION,C,2400,13.49,1,0.18,Y,2,0.18,615.2772152685684
22,42000,RENT,6.0,MEDICAL,D,25000,14.59,1,0.6,Y,2,0.6,485.3660145722771
26,48000,RENT,2.0,EDUCATION,B,25000,9.64,1,0.52,N,4,0.52,579.9052560268942
25,12996,OWN,1.0,MEDICAL,D,3600,14.59,1,0.28,N,3,0.28,546.2783024104214
22,12996,OWN,1.0,EDUCATION,B,4750,0.0,1,0.37,N,3,0.37,591.8869315642999
25,42360,RENT,1.0,EDUCATION,E,25000,16.35,1,0.59,Y,3,0.59,500.5453444429676
21,49000,RENT,4.0,EDUCATION,B,25000,10.99,1,0.51,N,2,0.51,581.7357259343066
25,225000,MORTGAGE,0.0,VENTURE,F,25000,18.67,0,0.11,N,2,0.11,648.7474854169704
26,225000,RENT,1.0,EDUCATION,A,3000,9.32,0,0.01,N,4,0.01,723.9253950909966
23,225000,RENT,8.0,DEBTCONSOLIDATION,A,7500,8.63,0,0.03,N,2,0.03,704.6323850012274
26,225000,MORTGAGE,2.0,VENTURE,B,25000,10.08,0,0.11,N,2,0.11,728.3149595690727
22,49464,RENT,5.0,PERSONAL,B,25000,11.83,1,0.51,N,3,0.51,574.721322415143
23,50000,RENT,1.0,DEBTCONSOLIDATION,A,25000,7.9,1,0.5,N,3,0.5,569.5490681158726
25,50000,RENT,4.0,HOMEIMPROVEMENT,A,25000,5.99,1,0.5,N,2,0.5,580.2430133752712
24,44000,RENT,2.0,DEBTCONSOLIDATION,D,25000,15.33,1,0.57,N,2,0.57,474.489460208003
23,50000,RENT,1.0,VENTURE,B,25000,11.83,1,0.5,N,4,0.5,585.519655082569
22,50004,RENT,0.0,VENTURE,B,25000,10.36,1,0.5,N,2,0.5,584.8361646451708
22,50004,RENT,3.0,VENTURE,C,25000,12.23,1,0.5,N,3,0.5,578.6643255598724
22,52000,RENT,2.0,EDUCATION,B,25000,11.11,1,0.48,N,4,0.48,580.139743443119
23,13200,OWN,3.0,DEBTCONSOLIDATION,A,4950,7.9,1,0.38,N,4,0.38,581.4513632104057
24,220000,MORTGAGE,1.0,EDUCATION,B,25000,11.58,0,0.11,N,2,0.11,719.2877416701408
23,216000,MORTGAGE,5.0,DEBTCONSOLIDATION,A,21000,8.9,0,0.1,N,3,0.1,717.4625676531728
25,216000,MORTGAGE,2.0,EDUCATION,D,25000,16.07,0,0.12,N,3,0.12,644.0510642149188
26,216000,MORTGAGE,10.0,EDUCATION,C,20000,14.22,0,0.09,Y,2,0.09,714.7109843623782
23,215000,MORTGAGE,7.0,MEDICAL,C,35000,14.79,0,0.16,Y,3,0.16,679.5418127684911
26,215000,MORTGAGE,11.0,EDUCATION,A,12000,7.88,0,0.06,N,2,0.06,759.8955554149037
23,52000,RENT,1.0,PERSONAL,C,25000,13.22,1,0.48,N,2,0.48,559.3738622499951
26,46000,RENT,2.0,DEBTCONSOLIDATION,D,25000,11.86,1,0.54,N,4,0.54,484.1755983501169
22,53000,RENT,5.0,EDUCATION,C,25000,13.43,1,0.47,Y,4,0.47,572.3145592648557
26,47000,RENT,0.0,HOMEIMPROVEMENT,D,25000,15.28,1,0.53,Y,2,0.53,478.243751337981
23,47000,RENT,1.0,VENTURE,E,25000,17.93,1,0.53,N,2,0.53,507.3547502799651
23,13200,MORTGAGE,2.0,EDUCATION,B,1400,9.25,0,0.11,N,4,0.11,656.0751013976715
21,13200,OWN,0.0,VENTURE,C,4500,12.98,1,0.34,N,4,0.34,585.3554876751381
22,210000,MORTGAGE,6.0,VENTURE,B,16000,10.62,0,0.08,N,4,0.08,735.805109752516
26,210000,OWN,10.0,PERSONAL,B,22000,11.83,0,0.1,N,4,0.1,734.6195139635457
26,48000,RENT,5.0,VENTURE,F,25000,18.43,1,0.52,N,2,0.52,513.1303558768733
22,54996,RENT,6.0,EDUCATION,B,25000,0.0,1,0.45,N,4,0.45,585.4478464228393
24,55000,RENT,4.0,HOMEIMPROVEMENT,D,25000,0.0,1,0.45,Y,4,0.45,495.33020952507036
23,55000,RENT,4.0,EDUCATION,B,25000,11.36,1,0.45,N,3,0.45,583.2344590841406
23,55000,RENT,4.0,EDUCATION,D,25000,15.65,1,0.45,Y,3,0.45,506.0923595621479
24,55164,RENT,8.0,PERSONAL,C,25000,13.22,1,0.45,Y,4,0.45,566.2911755031555
26,56000,RENT,4.0,DEBTCONSOLIDATION,C,25000,12.87,1,0.45,N,2,0.45,543.9424586127316
24,203500,OWN,8.0,MEDICAL,C,20000,13.04,0,0.1,N,3,0.1,708.2684168525298
23,190000,MORTGAGE,5.0,EDUCATION,F,22000,17.58,1,0.12,Y,3,0.12,649.4816492608788
23,13920,OWN,2.0,PERSONAL,E,7750,17.04,1,0.56,N,4,0.56,502.6551952190258
24,60000,RENT,0.0,PERSONAL,B,25000,10.99,1,0.42,N,3,0.42,579.4072067558207
24,60000,RENT,2.0,PERSONAL,B,25000,11.11,1,0.42,N,3,0.42,581.5201913907665
26,54000,RENT,7.0,DEBTCONSOLIDATION,D,25000,14.83,1,0.46,Y,2,0.46,482.08507655209405
23,14000,OWN,2.0,DEBTCONSOLIDATION,D,4000,0.0,1,0.29,N,3,0.29,551.7731998219657
24,200000,RENT,8.0,MEDICAL,B,12000,12.69,0,0.06,N,2,0.06,686.3229346688422
24,200000,MORTGAGE,8.0,HOMEIMPROVEMENT,C,12000,13.49,0,0.06,N,2,0.06,707.1591117062234
21,200000,MORTGAGE,5.0,EDUCATION,C,16000,14.65,0,0.08,N,4,0.08,711.8319187648076
25,54000,RENT,3.0,HOMEIMPROVEMENT,E,25000,16.82,1,0.46,N,4,0.46,483.94604548177347
23,60000,RENT,3.0,PERSONAL,C,25000,12.73,1,0.42,N,3,0.42,572.4958949977274
23,60000,RENT,7.0,PERSONAL,B,25000,10.25,1,0.42,N,4,0.42,585.338091377341
21,60000,RENT,6.0,EDUCATION,B,25000,10.99,1,0.42,N,4,0.42,592.5554663388568
25,61959,RENT,9.0,MEDICAL,C,25000,12.73,1,0.4,N,2,0.4,559.9731625581035
22,56400,RENT,2.0,HOMEIMPROVEMENT,D,25000,14.96,1,0.44,Y,3,0.44,483.29385092249345
23,200000,MORTGAGE,7.0,EDUCATION,A,28000,0.0,0,0.14,N,2,0.14,738.469604975661
21,200000,MORTGAGE,2.0,DEBTCONSOLIDATION,C,25000,13.99,0,0.13,N,2,0.12,679.3367839504813
24,200000,MORTGAGE,3.0,VENTURE,A,24000,7.49,0,0.12,N,4,0.12,749.7762257172128
26,200000,MORTGAGE,4.0,EDUCATION,C,15000,14.79,0,0.07,N,3,0.08,702.8265908604003
25,200000,MORTGAGE,2.0,DEBTCONSOLIDATION,B,15500,11.99,0,0.08,N,2,0.08,697.0213720898911
24,200000,RENT,8.0,EDUCATION,A,10000,8.49,0,0.05,N,4,0.05,731.8754422739747
24,66000,RENT,3.0,EDUCATION,B,25000,9.91,1,0.38,N,2,0.38,592.0923884449041
22,66000,RENT,6.0,EDUCATION,C,25000,13.06,1,0.38,Y,3,0.38,580.9123821740188
22,200000,MORTGAGE,6.0,DEBTCONSOLIDATION,A,9000,6.17,0,0.04,N,4,0.04,733.1640239389685
144,200000,MORTGAGE,4.0,EDUCATION,B,6000,11.86,0,0.03,N,2,0.03,745.7142430310959
25,200000,RENT,5.0,EDUCATION,D,18000,16.32,0,0.09,N,3,0.09,621.5043619748503
25,200000,MORTGAGE,2.0,VENTURE,B,12000,10.38,0,0.06,N,2,0.06,742.7460246020432
25,200000,MORTGAGE,9.0,PERSONAL,C,23050,14.35,0,0.12,N,3,0.12,705.0926064770906
24,200000,MORTGAGE,8.0,DEBTCONSOLIDATION,B,20000,0.0,0,0.1,N,3,0.1,701.6067431256984
24,60000,RENT,2.0,DEBTCONSOLIDATION,E,25000,0.0,1,0.42,Y,2,0.42,495.49425244107437
21,14400,OWN,0.0,HOMEIMPROVEMENT,B,3000,0.0,1,0.21,N,4,0.21,627.4395799217923
26,66996,RENT,10.0,PERSONAL,D,25000,15.21,1,0.37,Y,2,0.37,517.9432430291517
23,67000,RENT,3.0,EDUCATION,A,25000,7.9,1,0.37,N,4,0.37,616.6908625140227
24,67000,RENT,2.0,VENTURE,B,25000,10.99,1,0.37,N,3,0.37,602.3414618587858
24,68000,RENT,5.0,PERSONAL,D,25000,14.09,1,0.37,Y,3,0.37,520.4416078210113
25,69000,RENT,9.0,PERSONAL,D,25000,17.49,1,0.36,N,2,0.36,515.1883319522465
25,200000,MORTGAGE,0.0,EDUCATION,B,12000,11.48,0,0.06,N,3,0.06,733.5635276784994
26,188000,MORTGAGE,10.0,VENTURE,E,20000,17.74,1,0.11,N,2,0.11,657.5373298412553
26,200000,MORTGAGE,4.0,PERSONAL,C,3000,13.92,0,0.01,N,3,0.02,719.3622015992171
25,69996,RENT,9.0,EDUCATION,D,25000,15.21,1,0.36,N,3,0.36,525.8443687679272
22,14400,OWN,2.0,MEDICAL,B,4000,10.99,1,0.28,N,3,0.28,622.1472685966196
24,70000,RENT,3.0,EDUCATION,B,25000,11.86,1,0.36,N,4,0.36,597.8907373419866
24,14400,OWN,5.0,PERSONAL,A,6000,7.49,1,0.42,N,3,0.42,606.2881551318022
24,56100,RENT,7.0,MEDICAL,D,25000,16.49,1,0.38,N,4,0.45,484.42222664036956
25,66000,RENT,9.0,VENTURE,D,25000,15.33,1,0.38,Y,2,0.38,523.8926917228999
26,66000,RENT,3.0,HOMEIMPROVEMENT,B,25000,11.58,1,0.38,N,4,0.38,569.7382514564927
25,14400,OWN,7.0,EDUCATION,A,5375,5.79,1,0.37,N,2,0.37,617.0249802750682
25,72612,RENT,9.0,MEDICAL,C,25000,13.11,1,0.34,N,2,0.34,566.0316179067863
23,74000,RENT,3.0,MEDICAL,B,25000,10.36,1,0.34,N,3,0.34,575.2815986570329
25,75000,RENT,9.0,DEBTCONSOLIDATION,B,25000,10.36,1,0.33,N,2,0.33,572.5826409064434
24,192000,RENT,0.0,MEDICAL,C,22000,0.0,0,0.11,Y,2,0.11,658.7763065477432
21,192000,MORTGAGE,123.0,VENTURE,A,20000,6.54,0,0.1,N,4,0.1,754.8432075764705
25,191000,MORTGAGE,1.0,MEDICAL,B,10000,12.53,0,0.05,N,4,0.05,713.4428755935819
26,190300,MORTGAGE,5.0,PERSONAL,A,15000,0.0,0,0.08,N,3,0.08,740.725374417471
22,190000,MORTGAGE,3.0,VENTURE,C,10000,0.0,0,0.05,N,3,0.05,739.3586133022645
24,75000,RENT,4.0,EDUCATION,B,25000,10.25,1,0.33,N,4,0.33,598.150843793587
22,71000,RENT,1.0,EDUCATION,D,25000,15.95,1,0.35,Y,4,0.35,515.4883936606018
26,190000,MORTGAGE,3.0,VENTURE,B,20000,12.18,0,0.11,N,4,0.11,731.6152725421159
23,189996,OWN,0.0,PERSONAL,B,24000,11.83,0,0.13,N,3,0.13,725.829669539261
23,78000,RENT,7.0,DEBTCONSOLIDATION,C,25000,0.0,1,0.32,Y,2,0.32,562.9064010658718
23,78000,RENT,1.0,VENTURE,B,25000,10.62,1,0.32,N,3,0.32,600.4360397920154
23,78504,RENT,7.0,VENTURE,B,25000,10.74,1,0.32,N,3,0.32,606.1593618453603
25,186000,OWN,9.0,VENTURE,B,10000,10.25,0,0.05,N,4,0.05,765.6728993980691
24,185000,MORTGAGE,0.0,EDUCATION,B,35000,12.42,0,0.19,N,2,0.19,708.2472886233572
25,185000,RENT,6.0,VENTURE,C,15000,15.27,0,0.08,N,2,0.08,688.55218863473
24,62050,RENT,8.0,MEDICAL,D,25000,15.33,1,0.34,Y,2,0.4,471.90836780944835
23,79416,RENT,7.0,VENTURE,D,25000,15.21,1,0.31,Y,2,0.31,531.4597834051092
21,14400,OWN,4.0,VENTURE,C,6250,14.72,1,0.43,N,2,0.43,581.9883652313832
24,79631,RENT,8.0,PERSONAL,D,25000,15.7,1,0.31,Y,2,0.31,515.1883319522465
24,79632,RENT,0.0,EDUCATION,C,25000,13.35,1,0.31,N,4,0.31,581.7759872220045
21,14400,MORTGAGE,0.0,MEDICAL,C,1500,0.0,0,0.1,N,4,0.1,620.7391288709156
24,80000,RENT,6.0,EDUCATION,A,25000,6.62,1,0.31,N,2,0.31,631.4487617343354
26,80000,RENT,5.0,DEBTCONSOLIDATION,C,25000,13.61,1,0.31,N,4,0.31,573.0018928914212
22,185000,RENT,4.0,MEDICAL,B,25000,11.36,0,0.14,N,2,0.14,663.6851746441046
26,185000,OWN,10.0,PERSONAL,A,5000,7.68,0,0.03,N,2,0.03,770.818431316137
24,184992,RENT,7.0,HOMEIMPROVEMENT,D,22000,14.46,0,0.12,Y,4,0.12,599.212792425948
23,184000,OWN,5.0,EDUCATION,B,2500,11.83,0,0.01,N,2,0.01,756.3243784362745
24,172000,MORTGAGE,6.0,DEBTCONSOLIDATION,C,20000,13.47,1,0.12,Y,4,0.12,687.2794647678991
24,183000,MORTGAGE,2.0,MEDICAL,B,20000,11.49,0,0.11,N,3,0.11,699.9366036597428
22,183000,MORTGAGE,3.0,EDUCATION,A,1000,0.0,0,0.01,N,2,0.01,758.8412005525466
25,182952,MORTGAGE,9.0,PERSONAL,A,15000,6.03,0,0.08,N,3,0.08,741.8670820737232
23,74004,RENT,7.0,DEBTCONSOLIDATION,E,25000,16.35,1,0.34,N,4,0.34,493.98644373303483
26,74004,RENT,10.0,DEBTCONSOLIDATION,D,25000,0.0,1,0.34,Y,4,0.34,506.6168825197106
25,81000,RENT,5.0,DEBTCONSOLIDATION,A,25000,7.29,1,0.31,N,3,0.31,603.4874554326004
23,81600,RENT,1.0,MEDICAL,B,25000,11.36,1,0.31,N,3,0.31,583.7013261729314
24,82000,RENT,8.0,VENTURE,B,25000,10.25,0,0.3,N,2,0.3,673.2717599464931
24,83000,RENT,5.0,EDUCATION,B,25000,11.12,0,0.3,N,3,0.3,665.26836290968
24,83000,RENT,5.0,PERSONAL,D,25000,12.92,0,0.3,Y,3,0.3,588.1360761729634
24,180000,RENT,8.0,EDUCATION,E,18000,18.64,0,0.1,Y,4,0.1,622.6983531746658
23,180000,MORTGAGE,8.0,PERSONAL,A,28000,7.51,0,0.16,N,3,0.16,731.7101868931377
23,14400,OWN,2.0,HOMEIMPROVEMENT,E,4000,16.7,1,0.28,N,2,0.28,546.2040280000293
22,14400,OWN,0.0,PERSONAL,B,2100,11.14,0,0.15,N,4,0.15,653.1437859661912
22,84500,RENT,6.0,PERSONAL,F,25000,18.3,0,0.3,N,4,0.3,579.1767133329251
24,85000,RENT,5.0,MEDICAL,B,25000,10.62,0,0.29,N,4,0.29,642.3991177731259
24,180000,MORTGAGE,7.0,VENTURE,B,14000,11.99,0,0.08,N,2,0.08,739.170419775261
26,180000,MORTGAGE,2.0,VENTURE,B,12000,9.63,0,0.07,N,4,0.07,743.9337679392835
25,142800,MORTGAGE,9.0,MEDICAL,F,10000,18.25,1,0.06,N,4,0.07,641.5292353018646
